,player_id,FIRST_NAME,LAST_NAME,TEAM_ID,HEIGHT,DRAFT_YEAR,FULL_NAME,SEASON
325,101260,Bryant,Matthews,0.0,,Undrafted,Bryant Matthews,2014
326,101261,Andre,Owens,1610612754.0,195.072,Undrafted,Andre Owens,2014
327,101262,Cory,Violette,0.0,,Undrafted,Cory Violette,2014
330,101119,Rashad,McCants,1610612750.0,195.072,2005,Rashad McCants,2014
331,101152,Bracey,Wright,1610612750.0,192.024,2005,Bracey Wright,2014
333,101224,Deji,Akindele,0.0,,Undrafted,Deji Akindele,2014
335,1520,Charles,Smith,0.0,195.072,1997,Charles Smith,2014
336,2751,Viktor,Khryapa,0.0,,2004,Viktor Khryapa,2014
337,101230,Noel,Felix,1610612760.0,210.312,Undrafted,Noel Felix,2014
338,101213,Sharrod,Ford,0.0,210.312,Undrafted,Sharrod Ford,2014
339,101253,Olu,Famutimi,0.0,,Undrafted,Olu Famutimi,2014
341,1110,Mark,Strickland,0.0,185.928,Undrafted,Mark Strickland,2014
342,101207,Kevin,Burleson,1610612766.0,192.024,Undrafted,Kevin Burleson,2014
343,101212,Esteban,Batista,1610612737.0,185.928,Undrafted,Esteban Batista,2014
345,2256,Ken,Johnson,1610612748.0,185.928,2001,Ken Johnson,2014
346,1844,Fred,Vinson,0.0,195.072,Undrafted,Fred Vinson,2014
347,2750,Pavel,Podkolzin,0.0,228.6,2004,Pavel Podkolzin,2014
348,101117,Yaroslav,Korolev,1610612746.0,210.312,2005,Yaroslav Korolev,2014
349,101137,Daniel,Ewing,1610612746.0,192.024,2005,Daniel Ewing,2014
350,101238,Boniface,Ndong,0.0,213.36,Undrafted,Boniface Ndong,2014
351,101125,Julius,Hodge,0.0,204.216,2005,Julius Hodge,2014
352,101178,Arvydas,Macijauskas,1610612740.0,195.072,Undrafted,Arvydas Macijauskas,2014
356,103,Todd,Day,0.0,,1992,Todd Day,2014
357,2601,Andreas,Glyniadakis,0.0,216.408,2003,Andreas Glyniadakis,2014
358,101165,Alex,Acker,1610612746.0,198.12,2005,Alex Acker,2014
360,101134,Wayne,Simien,1610612748.0,210.312,2005,Wayne Simien,2014
361,101190,Matt,Walsh,0.0,201.16799999999998,Undrafted,Matt Walsh,2014
362,101252,Sean,Banks,0.0,,Undrafted,Sean Banks,2014
363,2251,Eric,Chenowith,0.0,,2001,Eric Chenowith,2014
